Unique_ID,City,Latitude,Longitude,Country
153,Taizhou,32.4567,119.9229,China
154,Kunming,25.0464,102.7094,China
155,Yiyang,28.5549,112.356,China
156,Atlanta,33.7628,-84.422,United States
157,Lu'an,31.736,116.52,China
158,Jiangguanchi,34.0244,113.8201,China
159,Meizhou,24.289,116.122,China
160,Urumqi,43.8225,87.6125,China
161,Suzhou,31.3,120.6194,China
162,Boston,42.3188,-71.0852,United States
163,Izmir,38.42,27.14,Turkey
164,Guigang,23.112,109.599,China
165,Shantou,23.354,116.682,China
166,Kabul,34.5253,69.1783,Afghanistan
167,Xiaoganzhan,30.918,113.957,China
168,Bamako,12.6392,-8.0028,Mali
169,Luzhou,28.871,105.442,China
170,Hefei,31.8206,117.2273,China
171,Hengshui,37.739,115.669,China
172,Fortaleza,-3.7275,-38.5275,Brazil
173,Anqing,30.5318,117.1153,China
174,Liuzhou,24.3264,109.4281,China
175,Zhangjiakou,40.769,114.886,China
176,Zhaoqing,23.05,112.4667,China
177,Shijiazhuang,38.0425,114.51,China
178,Ningbo,29.8603,121.6245,China
179,Qiqihar,47.3549,123.9182,China
180,Phoenix,33.5722,-112.0892,United States
181,Fuzhou,27.949,116.358,China
182,Chifeng,42.257,118.888,China
183,Xiaoxita,30.692,111.287,China
184,Amman,31.9497,35.9328,Jordan
185,Chuzhou,32.256,118.333,China
186,Linfen,36.088,111.519,China
187,Qingyuan,23.682,113.056,China
188,Xianyang,34.3299,108.7088,China
189,Loudi,27.6998,111.9944,China
190,Binzhou,37.383,117.971,China
191,Zhuzhou,27.829,113.133,China
192,Taiyuan,37.8704,112.5497,China
193,Nanning,22.8167,108.3275,China
194,Harbin,45.7576,126.6409,China
195,Abuja,9.0667,7.4833,Nigeria
196,Yokohama,35.4442,139.6381,Japan
197,Suihua,46.654,126.969,China
198,Zaozhuang,34.8109,117.3238,China
199,Detroit,42.3834,-83.1024,United States
200,Xiamen,24.4796,118.0889,China
201,Neijiang,29.5802,105.058,China
202,Montreal,45.5089,-73.5617,Canada
203,Fuzhou,26.0743,119.2964,China
204,Atlanta,33.7628,-84.422,United States
205,Wuhu,31.3526,118.4331,China
206,Yulinshi,38.2858,109.7341,China
207,Medan,3.5894,98.6739,Indonesia
208,Wenzhou,27.9938,120.6993,China
209,Changzhou,31.811,119.974,China
210,Puyang,35.7627,115.0292,China
211,Atlanta,33.7628,-84.422,United States
212,Nanchang,28.683,115.858,China
213,Seattle,47.6211,-122.3244,United States
214,Ibadan,7.3964,3.9167,Nigeria
215,Casablanca,33.5333,-7.5833,Morocco
216,Kumasi,6.7,-1.625,Ghana
217,Deyang,31.127,104.398,China
218,Busan,35.18,129.075,"Korea, South"
219,Hohhot,40.842,111.749,China
220,Hechi,24.693,108.085,China
